Item No.,Description,Unit,Rate,,
,10-26-3 tLrh yksgs dh ufydk,fdxzk-,180-20,,
10-27,dkcZu v;Ld ds dybzZnkj ¼U;wure 5 ekbdzku dk ysi gks½ ds MS”k dhyd ftudk 6-8 xzsM okyk nksgjh pwM+hnkj dk 10 feeh- O;kl gks ¼ftudh ;hYM {kerk 480,,,,
,"U;wVu@feeh<sup>2</sup>gks½ miyC/k djkuk vkSj fQDl djukA buds dkmUVj dk fljk Mwck gks vkSj ftlesa ih , xzsM dh Lyhc] 10 ,e,e ds O;kl dh iWkfyekbM gks rFkk izHkkjh bathfu;j ds fn”kk&funsZ”k ds vuqlkj QesZa@dadzhV] eslu ¼jktfxjh½ vkfn ds dke esa Nsn djus ds fy, lqjk[k gks lds lfgr miyC/k djkuk rFkk mUgsa fQDl djukA",,,,
,10-27-1 10x60 feeh,izR;sd,111-70,,
,10-27-2 10x80 feeh,izR;sd,117-30,,
,10-27-3 10x120 feeh,izR;sd,144-60,,
,10-27-4 10x140 feeh,izR;sd,156-35,,
,10-27-5 10x160 feeh,izR;sd,191-95,,
10-28,[kks[kyh V~;wc] pSuy] IysV vkfn ls cuh LVsuysl LVhy ls ¼xzsM&304½ dh jsfyax miyC/k djkuk vkSj fQDl djuk] ftlesa osYMu] xzkbfMax] cfQax] ikfy”k djuk “kkfey gks vkSj mlesa rqM+ko&eqM+ko ¼odzrk½ ¼tgk¡ dgha visf{kr gks½ djuk vkSj mUgsa LVsuysl LVhy ds uV cksYV ds lkFk dl dj fQDl djuk] ftlesa izHkkjh bathfu;j ds vuqeksnu ds vuqlkj t:jh&t:jh lgk;d midj.kksa rFkk LVsuysl LVhy ds MS”k dhydksa] visf{kr vkdkj ds LVsuysl LVhy ds cksYVksa vkfn lfgr mi;qDr cSBku ¼O;oLFkk½ ds lkFk Q”kZ dh mijh lrg ij vFkok e/; LySc dh lkbM ij fQDl djukA ¼Hkqxrku ds iz;kstu ls LVsuysl LVhy ds esEclZ dk Hkkj “kkfey fd;k,,,,
,"tk,xk] ftlesa fQDlpj] lgk;d midj.k tSls fd uV] cksYV rFkk dhyd bR;kkfn dk Hkkj “kkfey ugha gksxkA½",fd-xzk-,612-25,,
10-29,f[kM+fd;ksa] jks”kunkuksa vkSj njoktk+s esa uje bLikr dh iRrh 15x3 fe-eh- dkcys vkSj f<cfj;ksa ls ePNj jks/kh rkj dh tkyh dh O;oLFkk djus vkSj yxkus lfgr laiw.kZA 10-29-1 0-63 fe-eh O;kl okyh rkj vkSj nksuks rjQ 1-4 fe-eh- taxjks/kh bLikr dh rkj dh tkyhA 10-29-2 0-5 fe-eh O;kl okyh rkj vkSj nksuks rjQ 1-4 fe-eh- taxjks/kh bLikr ¼xzsM&304½ ds rkj dh tkyhA,oxZ eh- oxZ eh-,732-20 971-55,,
10-30,yksgs ds njoktk+s] [kM+fd;ksa vkSj jks”kunkuksa esa iqV~Vh vkSj fDyi ds lkFk “kh”kksa dh O;oLFkk djus vkSj yxkus lfgr laiw.kZA 10-30-1 4 fe-eh eksVs “kh”ks ¼10 fd-xzk-@oxZ eh- ls vU;wu Hkkj okyh½ 10-30-2 5-0 fe-eh- eksVs “kh”ks ¼12-5 fd-xzk-@oxZ eh- ls vU;wu Hkkj okyh½,oxZ eh- oxZ eh-,940-30 1243-50,,
10-31,"izHkkjh vfHk;ark ds funs”kkuqlkj lHkh iw.kZ vuqeksfnr LVhy izkbfeax dksV yxkdj vko”;d cV dCtksa vkSj isp lsyxkus lfgr ekStwnk Vh&vk;ju vFkok MS”k QkLVuj ds lkFk nhokj esa 35×5 ,e ,e pkSM+h ihl ,axy vk;ju }kjk osYM fd;k gqvk rFkk tkabaVl ekbVªM fd;k gqvk 35×5×5 fe-eh- ,axy dk njoktk] f[kM+dh] jks”kunku tks ekbYM LVhy ,axy dk cuk gqvk gks ds fy, ,axy vk;ju QzsEl dh O;oLFkk djuk rFkk yxkukA",fd-xzk-,103-70,,
No.,,,,,
10.10,"Fixing standard steel glazed doors, windows and ventilators in walls, including fixing of float glass panes with glazing clips and special metal- sash putty of approved make, or metal beading with screws, (only steel windows, glass panes cut to size and glazing clips or metal beading with screws, shall be supplied by department free of cost.",,,,
,10.10.1 Fixing with 15x3 mm lugs 10 cm long embedded in cement concrete block 15x10x10 cm of C.C. 1:3:6 (1 Cement : 3 coarse sand : 6 graded stone aggregate 20 mm nominal size),kg,69.35,,
,10.10.2 Fixing with carbon steel galvanised dash fastener of required dia and size (to be paid for separately),kg,34.40,,
10.11,"Providing and fixing factory made ISI marked steel glazed doors, windows and ventilators, side /top /centre hung, with beading and all members such as F7D,F4B, K11 B and K12 B etc. complete of standard rolled steel sections, joints mitred and flash butt welded and sash bars tenoned and riveted, including providing and fixing of hinges, pivots, including priming coat of approved steel primer, but excluding the cost of other fittings, complete all as per approved design, (sectional weight of only steel members shall be measured for payment).",,,,
,10.11.1 Fixing with 15x3 mm lugs 10 cm long embedded in cement concrete block 15x10x10 cm of C.C. 1:3:6 (1 Cement : 3 coarse sand : 6 graded stone aggregate 20 mm nominal size),kg,175.65,,
,10.11.2 Fixing with carbon steel galvanised dash fastener of required dia and size (to be paid for separately),kg,109.15,,
10.12,"Extra for providing and fixing steel beading of size 10 x 10 x 1.6 mm (box type), approved shape and section with screws instead of glazing clips and metal sash putty, in steel doors, windows, ventilators and composite units.",metre,45.95,,
10.13,"Providing and fixing T-iron frames for doors, windows and ventilators of mild steel Tee-sections, joints mitred and welded, including fixing of necessary butt hinges and screws and applying a priming coat of approved steel primer.",,,,
,10.13.1 Fixing with 15x3 mm lugs 10 cm long embedded in cement concrete block 15x10x10 cm of C.C. 1:3:6 (1 Cement : 3 coarse sand : 6 graded stone aggregate 20 mm nominal size).,kg,114.65,,
,10.13.2 Fixing with carbon steel galvanised dash fastener of required dia and size (to be paid for separately),kg,109.35,,
10.14,"Providing and fixing pressed steel door frames conforming to IS: 4351, manufactured from commercial mild steel sheet of 1.60 mm thickness, including hinges, jamb, lock jamb, bead and if required angle threshold of mild steel angle of section 50x25 mm, or base ties of 1.60 mm, pressed mild steel welded or rigidly fixed together by mechanical means, including M.S. pressed butt hinges 2.5 mm thick with mortar guards, lock strike-plate and shock absorbers as specified and applying a coat of approved steel primer after pre-treatment of the surface as directed by Engineer-in-charge:",,,,
No.,,,,,
10.19,Providing and fixing mild steel round holding down bolts with nuts and washer plates complete.,kg,88.50,,
10.20,Providing and fixing bolts including nuts and washers complete.,kg,140.15,,
10.21,Providing and fixing M.S. rivets of sizes in position.,kg,237.85,,
10.22,Welding by gas or electric plant including transportation of plant at site etc. complete.,cm,3.40,,
10.25,"Steel work welded in built up sections/ framed work, including cutting, hoisting, fixing in position and applying a priming coat of approved steel primer using structural steel etc. as required.",,,,
,"10.25.1 In stringers, treads, landings etc. of stair cases, including use of chequered plate wherever required, all complete",kg,102.25,,
,"10.25.2 In gratings, frames, guard bar, ladder, railings, brackets, gates and similar works",kg,142.30,,
10.26,"Providing and fixing hand rail of approved size by welding etc. to steel ladder railing, balcony railing, staircase railing and similar works, including applying priming coat of approved steel primer.",,,,
,10.26.1 M.S. tube,kg,157.15,,
,10.26.2 E.R.W. tubes,kg,150.40,,
,10.26.3 G.I. pipes,kg,180.20,,
10.27,"Providing and fixing carbon steel galvanised ( minimum coating 5 micron) dash fastener of 10 mm dia double threaded 6.8 grade (yield strength 480 N/mm2), counter sunk head, comprising of 10 mm dia polyamide PA 6 grade sleeve, including drilling of hole in frame , concrete/ masonry, etc. as per direction of Engineer-in-charge.",,,,
,10.27.1 10 x 60 mm,each,111.70,,
,10.27.2 10 x 80 mm,each,117.30,,
,10.27.3 10 x 120 mm,each,144.60,,
,10.27.4 10 x 140 mm,each,156.35,,
,10.27.5 10 x 160 mm,each,191.95,,
10.28,"Providing and fixing stainless steel ( Grade 304) railing made of Hollow tubes, channels, plates etc., including welding, grinding, buffing, polishing and making curvature (wherever required) and fitting the same with necessary stainless steel nuts and bolts complete, i/c fixing the railing with necessary accessories & stainless steel dash fasteners , stainless steel bolts etc., of required size, on the top of the floor or the side of waist slab with suitable arrangement as per approval of Engineer-in- charge, (for payment purpose only weight of stainless steel members shall be considered excluding fixing accessories such as nuts, bolts, fasteners etc.).",kg,612.25,,
No.,,,,,
10.29,"Providing & fixing fly proof wire gauze to windows, clerestory windows & doors with M.S. Flat 15x3 mm and nuts & bolts complete.",,,,
,10.29.1 Galvanised M.S. Wire gauze with 0.63 mm dia wire and 1.4 mm aperture on both sides,sqm,732.20,,
,10.29.2 Stainless steel (grade 304) wire gauze of 0.5 mm dia wire and 1.4 mm aperture on both sides,sqm,971.55,,
10.30,"Providing & fixing glass panes with putty and glazing clips in steel doors, windows, clerestory windows, all complete with :",,,,
,10.30.1 4.0 mm thick glass panes (weights not less than 10 kg/ sqm),sqm,940.30,,
,10.30.2 5.0 mm thick glass panes (weights not less than 12.50 kg/ sqm),sqm,1243.50,,
10.31,"Providing and fixing angle iron frames for doors, windows and ventilators of mild steel angle sections of size 35x35x5 mm, joints mitred and welded by angle iron 35x35x5 mm or 35x 5 mm flat pieces to the existing T-iron frame or to the wall with dash fastener, including fixing of necessary butt hinges and screws and applying a priming coat of approved steel primer, all complete as per the direction of Engineer-In-charge.",kg,103.70,,
,No.,,,,
10.14.1,Profile B,,,,
10.14.1.1,Fixing with adjustable lugs with split end tail to each jamb,metre,444.50,,
10.14.1.2,Fixing with carbon steel galvanised dash fastener of required dia and size (to be paid for separately),metre,433.15,,
10.14.2,Profile C,,,,
10.14.2.1,Fixing with adjustable lugs with split end tail to each jamb,metre,471.25,,
10.14.2.2,Fixing with carbon steel galvanised dash fastener of required dia and size (to be paid for separately),metre,459.90,,
10.14.3,Profile E,,,,
10.14.3.1,Fixing with adjustable lugs with split end tail to each jamb,metre,511.40,,
10.14.3.2,Fixing with carbon steel galvanised dash fastener of required dia and size (to be paid for separately),metre,500.05,,
10.15,"Providing and cupb M.S. Sh required applying and fixing M.S. Tubular frames for doors, windows, ventilators oard with rectangular/ L-Type sections, made of 1.60 mm thick eet, joints mitred, welded and grinded finish, with profiles of size, including fixing of necessary butt hinges and screws and a priming coat of approved steel primer.",,,,
10.15.1,Fixing with 15x3 mm lugs 10 cm long embedded in cement concrete block 15x10x10 cm of C.C. 1:3:6 (1 Cement : 3 coarse sand : 6 graded stone aggregate 20 mm nominal size),kg,146.55,,
10.15.2,Fixing with carbon steel galvanised dash fastener of required dia and size (to be paid for separately),kg,133.60,,
10.16,"Steel wor etc.) trus applying bolted wi k in built up tubular (round, square or rectangular hollow tubes ses etc., including cutting, hoisting, fixing in position and a priming coat of approved steel primer, including welding and th special shaped washers etc. complete.",,,,
10.16.1,Hot finished welded type tubes,kg,154.90,,
10.16.2,Hot finished seamless type tubes,kg,168.95,,
10.16.3,Electric resistance or induction butt welded tubes,kg,140.85,,
10.17,"Providing bent to s including complete and fixing M.S. fan clamp type I or II of 16 mm dia M.S. bar, hape with hooked ends in R.C.C. slabs or beams during laying, painting the exposed portion of loop, all as per standard design .",each,185.95,,
10.18,"Providing ceiling fa mm thick top lid sh 3.3 mm d be made and fixing circular/ Hexagonal cast iron or M.S. sheet box for n clamp, of internal dia 140 mm, 73 mm height, top lid of 1.5 M.S. sheet with its top surface hacked for proper bonding, all be screwed into the cast iron/ M.S. sheet box by means of ia round headed screws, one lock at the corners. Clamp shall of 12 mm dia M.S. bar bent to shape as per standard drawing.",each,185.20,,
,10-14-1,[k & #ijs[kk s as sa s ¡sa s s s,,,
,,10-14-1-1 izR;d ik[k e nk eqgk idM+iêh tk lek;kftr gk] yxkukA Z,ehVj,444-50,
,,10-14-1-2 vko”;d O;kl rFkk eki dk dkcu bLikr v;Ld dk dybZnkj tSls dhyd yxkuk ¼vyx ls Hkqxrku fd;k,,,
,,"tk,xk½A",ehVj,433-15,
,10-14-2,x & #ijs[kk,,,
,,10-14-2-1 izR;sd ik[kas esa nks eq¡gksa idM+iêh tks lek;ksftr gks] yxkukA,ehVj,471-25,
,10-14-2-2 10-14-3,"vko”;d O;kl rFkk eki dk dkcZu bLikr v;Ld dk dybZnkj tSls dhyd yxkuk ¼vyx ls Hkqxrku fd;k tk,xk½A M & #ijs[kk",ehVj,459-90,
,,"10-14-3-1 izR;sd ik[kas esa nks eq¡gksa idM+iêh tks lek;ksftr gks] yxkukA 10-14-3-2 vko”;d O;kl rFkk eki dk dkcZu bLikr v;Ld dk dybZnkj tSls dhyd yxkuk ¼vyx ls Hkqxrku fd;k tk,xk½A",ehVj ehVj,511-40 500-05,
10-15,njoktksa] f dh pknj ftuds tks vko”;d vLrj.k r,"[kMfd;ksa] jks”kunku vkSj vyekjh ds fy, 1-60 feeh eksVh uje bLikr vk;rkdkj@,y Vkbi lsD”ku ds uje bLikr okyh V~;wcyj pkS[kVsa M dyeh rFkk >ys gq, vkSj lku ij f?kls gks] dh O;oLFkk djuk rFkk lVs dCtksa vkSj ispksa ds yxkus lfgr vkSj vuqeksfnr bLikr&vLrj dh g yxus lfgr %",,,
,10-15-1,lhesaV dadzhV 1%3%6 ¼1 lhesaV % 3 EkksVh jsr % 6 iRFkj dk] 20 fe-eh- ukeh; ukiokyk vuqikfrr feykok½ ds 15x10x10 ls-eh- fiaMdks esa yxh 10 ls-eh- yEch 15x3 fe-eh- yXxksa dks yxkukA Z Z Ss,fdxzk-,146-55,
,10-15-2,"vko”;d O;kl rFkk eki dk dkcu bLikr v;Ld dk dybnkj tl dhyd yxkuk ¼vyx ls Hkqxrku fd;k tk,xk½A",fdxzk-,133-60,
10-16,bLikr dk vk;rkdkj bLikr vL vkd‘fr l,"dke tqMh dkV okyh ufydkdkj dSfp;ksa es] ¼xksykdkj] oxkZdkj ;k [kks[kyh V~;wc vkfn½ dkVus] p<kus] ;Fkk LFkku yxkus vkSj vuqeksfnr rj dh vLrj.k rg yxkus lfgr >kys gq, vkSj dkcyks lfgr yxs] fo”ks’k fgr yxs] fo”ks’k vkd‘fr dh ok”kjksa vkfn lfgr] laiw.kZ",,,
,10-16-1,"xje djds rS;kj dh xbZ >ykbZ dh gqbZ ufydk,a",fdxzk-,154-90,
,10-16-2,"xje djds rS;kj dh xbZ lhou jfgr fdLe dh ufydka,",fdxzk-,168-95,
,10-16-3,fo,"qr izfrjks/k ;k izsj.k ls likV >ykbZ dh gqbZ ufydk,a",fdxzk-,140-85
10-17,izcfyr lh ds eqMs fl & vadqMk lc ekuk,"esaV & dadhzV LyScksa es dadzhV Mkyrs le; 16 feeh uje bLikr lfj;s jksa lfgr fo”ks’k vkd‘fr es eqMs gq, Vkbi &I;kIIds uje bLikr ia[kk dh O;oLFkk djuk vkSj yxkuk] Qans ds [kqys gq, Hkkx ij jksxu djus lfgr] vfHkdYi ds vuqlkj] laiw.kZ",izR;sd,185-95,
10-18,"Nr&ia[kk& okys xksy@ o Åij 3- ku ds fy, esa vadqMs 1 fo”ks’k vkd","vadMk ds fy, 140 feeh Hkhrjh O;kl 73 feeh ÅapkbZ 1-5 feeh eksVs fje ‘kVdks.k <ys gq, yksgs ds ckDl dh O;oLFkk djuk vkSj yxkuk vkSj uhps 3 feeh uje bLikr dh pknj ds <Ddu ftldh Åijh lrg mfpr ca/ eqMh gqbZ gks ( yxkuk@mijyk <Ddu <ysa gq,@ uje yksgs ds ckDl 2 feeh O;kl dh uje bLikr dh NMksa ls cus ekud fp= ds vuqlkj z`fr es eqMs gksxsa",izR;sd,185-20,
