20.3.3,450 mm dia piles,metre,0.629,,
20.3.4,550 mm dia piles,metre,0.792,,
20.4,Extra for providing additional bulb in under reamed piles.,,,,
20.4.1,300 mm dia piles,metre,0.109,,
,No.,,per unit quantity of work(Quintals),,
26.73.1.2,120 mm thick hollow core slab,metre,0.432,,
26.73.1.3,150 mm thick hollow core slab,metre,0.54,,
26.73.1.4,200 mm thick hollow core slab,metre,0.672,,
26.73.1.5,250 mm thick hollow core slab,metre,0.84,,
26.73.1.6,300 mm thick hollow core slab,metre,1.008,,
26.73.1.7,350 mm thick hollow core slab,metre,1.176,,
26.73.1.8,400mm thick hollow core slab,metre,1.344,,
26.73.2,Extra for u of M-40 sing M-50 (Cement content 425kg) instead,,,,
26.73.2.1,100 mm thick hollow core slab,metre,0.0225,,
26.73.2.2,120 mm thick hollow core slab,metre,0.027,,
26.73.2.3,150 mm thick hollow core slab,metre,0.03375,,
26.73.2.4,200 mm thick hollow core slab,metre,0.042,,
26.73.2.5,250 mm thick hollow core slab,metre,0.0525,,
26.73.2.6,300 mm thick hollow core slab,metre,0.063,,
26.73.2.7,350 mm thick hollow core slab,metre,0.0735,,
26.73.2.8,400mm thick hollow core slab,metre,0.084,,
26.73.3,Extra for u M-40 sing M-60 (Cement content 440kg) instead of,,,,
26.73.3.1,100 mm thick hollow core slab,metre,0.036,,
26.73.3.2,120 mm thick hollow core slab,metre,0.0432,,
26.73.3.3,150 mm thick hollow core slab,metre,0.054,,
26.73.3.4,200 mm thick hollow core slab,metre,0.0672,,
26.73.3.5,250 mm thick hollow core slab,metre,0.084,,
26.73.3.6,300 mm thick hollow core slab,metre,0.1008,,
26.73.3.7,350 mm thick hollow core slab,metre,0.1176,,
26.73.3.8,400mm thick hollow core slab,metre,0.1344,,
26.74,"Fabricatio element f n and maufacturing of solid precast concrete or walls,stairs,column etc.,",,,,
26.74.1,Concrete grade M-35 (Cement content 370 kgs),cum,3.70,,
26.74.2,E i xtra for using M-40 (Cement content 400 kg) nstaed of M-35,cum,0.30,,
26.74.3,E i xtra for using M-50 (Cement content 425 kg) nstaed of M-35,cum,0.55,,
26.74.4,E i xtra for using M-60 (Cement content 440 kg) nstaed of M-35,cum,0.70,,
26.82,Providing a nd laying rigid EPS (cellular plastic material) blocks,100 sqm,8.38,,
la0,,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",
,lhesaV,daØhV ¼dkLV&bu&flVw½,,,
4-1,"ih@,y 4-1-2 4-1-2d","lhesaV daØhV & fIyaFk Lrj rd lHkh fuekZ.k dk;Z % 1% 1½% 3 ¼1 lhesaV% 1½ çk—frd lzksrksa ls O;qRiUu eksVh jsr % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h ½ 1%1½%3 ¼1 lhesaV% 1½ 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu o fofufeZr jsr lfgr eksVh jsr% 3 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ dh 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h",?ku eh- ?ku eh-,4-00 4-00,
,4-1-3 4-1-3d,"1%2%4 ¼1 lhesaV% 2 çk—frd lzksrksa ls O;qRIkUu eksVh jsr % 4 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h ½ 1%2%4 ¼1 lhesaV% 2 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr% 4 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ dh 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h",?ku eh- ?ku eh-,3-20 3-20,
,4-1-4 4-1-5 4-1-5d 4-1-5[k 4-1-6 4-1-6[k,"1%2%4 ¼1 lhesaV% 2 çk—frd lzksrksa ls O;qRiUu eksVh jsr % 4 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ 1%3%6 ¼1 lhesaV% 3 çk—frd lzksrksa ls O;qRiUu eksVh jsr % 6 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ 1%3%6 ¼1 lhesaV% 3 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;q~RisUu fofufeZr jsr% 6 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;q~RiUu ¼20 feeh U;wure vkdkj dh oxhZ—r iRFkij dh jksM+h½ 1%3%6 ¼1 lhesaV% 3 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr % 6 iquuZohuh—r jksM+h ¼vkj,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFk j dh jksM+h½ 1%3%6 ¼1 lhesaV% 3 çk—frd lzksrksa ls O;qRiUu eksVh jsr % 6 çk—frd lzksrksa ls O;qRiUu 2 40 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ 1%3%6 ¼1lhesaV% 3 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr % 6 iquuZohuh—r jksM+h ¼vkj,½ ls O;qrRihUu 40 feeh",?ku eh- ?ku eh- ?ku eh- ?ku eh- ?ku eh-,3-20 2-20 2-20 2-20 2-20,
,,U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½,?ku eh-,2-20,
la0,,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k¼fDoaVy esa½",
,4-1-8,1%4%8 ¼1 lhesaV% 4 çk—frd lzksrksa ls O;qRIkUu eksVh jsr % 8 çk—frd lzksrksa ls O;qRiUu 40 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½,?ku eh-,1-70,
,4-1-8d,"1%4%8 ¼1 lhesaV% 4 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu% fofufeZr jsr % 8 iquuZohuh—r jksM+h ¼vkj,½ ls O;qRiUu 40 feeh U;w~ure vkdkj dh oxhZ—r iRFkj dh jksM+h½",?ku eh-,1-70,
,4-1-10,1% 5% 10 ¼1 lhesaV% 5 çk—frd lzksrksa ls O;qRiUu eksVh jsr % 10 çk—frd lzksrksa ls O;qRiUu 40 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h,?ku eh-,1-30,
,4-1-10d,"1%5%10 ¼1 lhesaV% 5 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu% fofufeZr jsr% 10 iquuZohuh—r jksM+h ¼vkj,½ ls O;qRiUu 40 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",?ku eh-,1-30,
,4-1-11,1%5%10 ¼1 lhesaV% 5 çk—frd lzksrksa ls O;qRiUu eksVh jsr % 10 çk—frd lzksrksa ls O;qRiUu 40 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½,?ku eh-,1-30,
,4-1-12,"1%2%3½%9 ¼1lk/kkj.k iksVZySaM lhesaV% 2 ¶ykbZ ,s’k% 3½çk—frd lzksrksa ls O;qRiUu eksVh jsr %9 çk—frd lzksrksa ls O;qRiUu 40 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",?ku eh-,1-70,
,4-1-12d,"1%2%3½%9 ¼1 lk/kkj.k iksVZySaM lhesaV% 2 ¶ykbZ ,s’k% 3½iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls fofufeZr jsr% 9 iquuZohuh—r jksM+h ¼vkj,½ ls O;qRIkUu 40 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",?ku eh-,1-70,
,4-1-13,"1%2½%4%11 ¼1 lk/kkj.k iksVZySaM lhesaV% 2½¶ykbZ ,s’k% 4 çk—frd lzksrksa ls O;qRiUu eksVh jsr % 11 çk—frd lzksrksa ls O;qRiUu 40 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",?ku eh-,1-30,
,4-1-13d,"1%2½%4%11 ¼1 lk/kkj.k iksVZySaM lhesaV% 2½¶ykbZ ,s’k% 4 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls fofufeZr jsr% 11 iquuZohuh—r jksM+h ¼vkj,½ ls O;qriUu 40 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",?ku eh-,1-30,
4-2,"ih@,y",lhesaV daØhV & fIyaFk Lrj rd lHkh fuekZ.k dk;Z %,,,
,4-2-2,1%1½%3 ¼1lhesaV% 1½çk—frd lzksrksa ls O;qRiUu eksVh jsr % 3 çk—frd,,,
,,lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½,?ku eh-,4-00,
la0,,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k¼fDoaVy esa½",
,4-2-2d,"1%1½%3 ¼1 lhesaV% 1½25½rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr% 3 25½rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ dh 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h",?ku eh-,4-00,
,4-2-3,1%2%4 ¼1 lhesaV% 2 çk—frd lzksrksa ls O;qRiUu eksVh jsr % 4 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½,?ku eh-,3-20,
,4-2-3d,"1%2%4 ¼1 lhesaV% 2 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr% 4 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ dh 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h",?ku eh-,3-20,
,4-2-5,1%3%6 ¼1 lhesaV %3 çk—frd lzksrksa ls O;qRiUu eksVh jsr % 6 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½,?ku eh-,2-20,
,4-2-5d,"1%3%6 ¼1 lhesaV% 3 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr% 6 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh",,,
,,U;wvkdkj dh oxhZ—r iRFkj dh jksM+h½,?ku eh-,2-20,
,4-2-5[k,"1%3%6 ¼1 lhesaV% 3 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qaRiUu fofufeZr jsr % 6 iquuZohuh—r jksM+h ¼vkj,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",?ku eh-,2-20,
,4-2-8,1% 5% 10 ¼1 lhesaV% 5 çk—frd lzksrksa ls O;q% eksVh jsr % 10 çk—frd lzksrksa ls O;qRiUu 40 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½,?ku eh-,1-30,
,4-2-8d,"1%5%10 ¼1 lhesaV% 5 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu% fofufeZr jsr % 10 iquuZohuh—r jksM+h ¼vkj,½ ls O;qRiUu 40 feeh U;w~ure vkdkj dh oxhZ—r iRFkj dh jksM+h½",?ku eh-,1-30,
4-4,QqVikFk],"lhf<;ksa vkfn esa ih@,y lhesaV daØhV%",,,
,4-4-1,1%1-5%3 ¼1 lhesaV% 1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½,?ku eh-,4-00,
,4-4-1d,"1% 1-5% 3 ¼1 lhesaV% 1-5 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr% 3 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qjRi Uu~ 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",?ku eh-,4-00,
la0,,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k¼fDoaVy esa½",
,lhesaV,daØhV ¼çh&dkLV½,,,
4-5,"ih@,y 4-5-1",çhdkLV lhesaV daØhV fLVªax ;k ysflax dkslZ] dksfiax vkfn% 1% 1½% 3 ¼1 lhesaV% 1½çk—frd lzksrksa ls O;qRiUu eksVh jsr % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½,?ku eh-,4-05,
,4-5-1d,"1%1½%3 3¼1 lhesaV% 1½25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr% 3 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",?ku eh-,4-05,
4-6,QqVikFk],"fdukjksa vkfn esa ih/,y çhdkLV lhesaV daØhV%",,,
,4-6-1,1%1-5%3 ¼1 lhesaV% 1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½,?ku eh-,4-05,
,4-6-1d,"1% 1-5% 3¼1 lhesaV% 1-5 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr% 3 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",?ku eh-,4-05,
4-7,"ih @,y",çhdkLV lhesaV daØhV Bksl Cy‚d%,,,
,4-7-1,1%1-5%3 ¼1 lhesaV% 1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½,?kuehVj,4-56,
,4-7-1d,"1% 1-5% 3 ¼1lhesaV% 1-5 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr% 3 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu~ 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",?kuehVj,4-56,
4-8,"ih @ ,",y çhdkLV lhesaV daØhV [kks[kys Cy‚d%,,,
,4-8-1,1%1-5%3 ¼1 lhesaV% 1-5 çk—frd lzksrksa ls O;q fRiUu eksVh jsr % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½,?kuehVj,2-899,
,4-8-1d,"1%1-5% 3 ¼1 lhesaV% 1-5 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr% 3 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;quRi Uu~ 20 feeh",,,
,,U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h,?kuehVj,2-899,
la0,,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k¼fDoaVy esa½",
4-17[k,1 lhesaV jsr% 6 iqu oxhZ—r,"daØhV% 3 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr uZohuh—r jksM+h ¼vkj,½ ls O;qRIkUu 20 feeh U;wure vkdkj dh iRFkj dh jksM+h ls ls 50 feeksVh fIyaFk lqj{kk cukukA",oxZ eh-,0-11,
4-19,gVk fn;k,x;k gS,,,
,4-19-1,gVk fn;k x;k gS,,,
,4-19-1-1,gVk fn;k x;k gS,,,
,4-19-1-2,gVk fn;k x;k gS,,,
,4-19-2,gVk fn;k x;k gS,,,
,4-19-2-1,gVk fn;k x;k gS,,,
,4-19-2-2,gVk fn;k x;k gS,,,
4-20,çk—frd,"lzksrksa ls O;qRIkUu ih@,y jsMh feDlj Iysu lhesaV daØhV",,,
,4-20-1,fIyaFk Lrj rd lHkh dk;Z,,,
,,"4-20-1-1 220 fdxzk@?kuehVj U;wure lhesaV lkexzh ds lkFk ,e 10 xzsM dk daØhV",oxZ eh-,2-20,
,,4-20-1-2 240 fdxzk@?kuehVj U;wure lhesaV lkexzh ds lkFk,,,
,,",e 15 xzsM dk daØhV",oxZ eh-,2-40,
,,4-20-1-3 270 fdxzk@?kuehVj U;wure lhesaV lkexzh ds lkFk,,,
,,",e 20 xzsM dk daØhV",oxZ eh-,2-70,
,,"4-20-1-4 300 fdxzk@?kuehVj U;wure lhesaV lkexzh ds lkFk ,e 25 xzsM dk daØhV",oxZ eh-,3-00,
,4-20-2,dqlhZ Lrj ls Åij vkSj Veafty Lrj rd lHkh dk;Z,,,
,,4-20-2-1 220 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr,,,
,,",e 10 xzsM dk daØhV",oxZ eh-,2.20,
,,4-20-2-2 240 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr,,,
,,",e 15 xzsM dk daØhV",oxZ eh-,2.40,
,,4-20-2-3 270 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr,,,
,,",e 20 xzsM dk daØhV",oxZ eh-,2.70,
,,4-20-2-4 300 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr,,,
,,",e 25 xzsM dk daØhV",oxZ eh-,3.00,
4-20d,çk—frd rS;kj fe,"lzksrksa vkSj iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu ih/,y Dl lknk lhesaV daØhV",,,
,4-20d-1,dqlhZ Lrj rd lHkh dk;Z,,,
,,4-20d-1-1 220 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr,,,
,,",e 10 xzsM dk daØhV",oxZ eh-,2.20,
,,4-20d-1-2 240 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr,,,
,,",e 15 xzsM dk daØhV",oxZ eh-,2.40,
la0,,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",
,5.33.2 5.33.2.1,"dqlhZ Lrj ls Åij 330 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 25 xzsM dk daØhV",?ku eh-,3.30,
,5.33.2.2,"350 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 30 xzsM dk daØhV",?ku eh-,3.50,
,5.33.2.3,"370 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 35 xzsM dk daØhV",?ku eh-,3.70,
,5.33.2.4,"390 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 40 xzsM dk daØhV",?ku eh-,3.90,
,5.33.2.5,"410 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 50 xzsM dk daØhV",?ku eh-,4.10,
5.33 d,iquuZohuhd ls O;qRiUu,"j.k daØhV jksM+h ¼vkjlh,½ ds vuqes; mi;ksx lfgr çk—frd lzksrksa ih@,y fMtkbu feDl daØhVA",,,
,5.33d.1,fIyaFk Lrj rd,,,
,5.33d.1.1,"330 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 25 xzsM dk daØhV",?ku eh-,3.30,
,5.33d.2,dqlhZ Lrj ls Åij,,,
,5.33d.2.1,"330 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 25 xzsM dk daØhV",?ku eh-,3.30,
5.34,gVk fn;k,x;k gS,,,
,5.34.1,gVk fn;k x;k gS,,,
,5.34.2,gVk fn;k x;k gS,,,
,5.34.3,gVk fn;k x;k gS,,,
5.36,oQy bdk lzksr ls O; U;wure vk,"b;ksa esa ih@,Q çhdkLV vkjlhlh 1%1½%3 ¼1 lhesaV% 1½çk—frd qRiUu eksVh jsr ¼vapy&III½% 3 çk—frd lzksrksa ls O;qRiUu 20 feeh dkj dh oxhZ—r iRFkj dh jksM+h½A",?ku eh-,4.16*,
5.36d,oQy bdk iquuZohuh— ¼vapy&III daØhV jksM,"b;ksa esa ih@,Q çhdkLV vkjlhlh 1%1½%3 ¼1 lhesaV% 1½20% rd r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr ½ % 3 oxhZ—r iRFkj dh jksM+h 20 feeh U;wure vkdkj iquuZohuh—r +h ¼vkjlh,½ 20% rd½A",?ku eh-,4.16*,
5.37,gVk fn;k,x;k gS,,,
5.40,gVk fn;k,x;k gS,,,
,* fo”ks’k fe,"J.k fMtkbu ds vuqlkj lhesaV dh vko”;drk dks /;ku esa j[krs gq,",,,
,fMtkbu f,"eJ.k ds fy, okLrfod otu dh x.kuk dh tk,xhA",,,
la0,,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",
,11-11-4,"fcuk dksbZ jatd feyk, lQsn lhesaV ls",oxZ eh0,0-1097$0-081*,
,11-11-5,gYds jax dk jatd feykdj lk/kkj.k lhesaV ls,oxZ eh0,0-1097,
,11-11-6,"fcuk dksbZ jatd feyk, lk/kkj.k lhesaV ls",oxZ eh0,0-1097,
11-12,nkusnkj l,axejej dh fdukjh,,,
,11-12-1,18 feeh-eksVk ftldh uhps dh 12 feeh0 eksVh ijr 1%3 ¼1 lhesaV % 3 eksVh jsr½ lfgr,,,
,11-12-1-1,Xkgjs jax dk jatd feykdj lk/kkj.k lhesaV ls,oxZ eh0,0-1292,
,11-12-1-2,gYds jax dk jatd feykdj lQsn lhesaV ls,oxZ eh0,0-0887$0-0405*,
,11-12-1-3,e/;e jax dk jatd feykdj 50%lQsn lhesaV vkSj 50%lk/kkj.k lhesaV ls,oxZ eh0,0-109$0-0203*,
,11-12-1-4,"fcuk dksbZ jatd feyk, lQsn lhesaV ls",oxZ eh0,0-109$0-405*,
,11-12-1-5,gYds jax dk jatd feykdj lk/kkj.k lhesaV ls,oxZ eh0,0-1292,
,11-12-1-6,"fcuk dksbZ jatd feyk, lk/kkj.k lhesaV ls",oxZ eh0,0-1292,
11-15,dzsth lax,ejej iRFkj dk Q”kZ cukuk,,,
,11-15-1,18 fe-eh- eksVk Østh laxejej lQsn] dkyk ;k tSlk fufnZ’V gks*lQsn lhesaV,oxZ eh0,0-1200$0-0405*,
,Vkby d,k Q”kZ cukuk,,,
11-16,iwoZ&fufeZr yxkbZ vkSj ij yxh g,Vjktksa Vkbysa 22 feeh0 eksVh vkSj Q”kksaZ vkSj pkSfd;ksa ij 1%4 ds vuqikr ds lhesaV elkys ls 20 feeh0 eksVs vk/kkj ks,,,
,11-16-1,gYds jax dh gks vkSj lhesaV yxk gks,oxZ eh0,0-0895$0-044*,
,11-16-2,e/;e jax dh gks vkSj 50%lQsn lhesaV vkSj 50%lk/kkj.k lhesaV yxk gks,oxZ eh0,0-0917$0-0220*,
,11-16-3,Xkgjs jax dh gks vkSj lk/kkj.k lhesaV yxk gks,oxZ eh0,0-0939,
,11-16-4,fcuk dksbZ jatd ds lQsn lhesaV dh gks,oxZ eh0,0-0939,
11-18,iwoZ&fufeZr isfM+;ksa esa,Vjktksa Vkbysa 22 fe-eh- eksVh vuf/kd Åps fdukjksa vkSj,,,
,11-18-1,gYds jax dh gks vkSj lhesaV yxk gks,oxZ eh0,0-0734$ 0-066*,
,11-18-2,e/;e jax dh gks vkSj 50%lQsn lhesaV vkSj 50%lk/kkj.k lhesaV yxk gks,oxZ eh0,0-1064$ 0-033*,
,11-18-3,Xkgjs jax dh gks vkSj lk/kkj.k lhesaV yxk gks,oxZ eh0,0-1394,
,11-18-4,fcuk dksbZ jatd ds lQsn lhesaV dh gks,oxZ eh0,0-1394,
11-19,pj[kkusnk ds vk/kkj,j Vjktksa Vkbysa 22 fe-eh- eksVh lfgr lhesaV elkys ¼1%4½ ij yxh gks,,,
,11-19-1,gYds jax dh gks vkSj lhesaV yxk gks,,0-0895$0-044*,
la0,,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",
17-1@,Hkkjrh;,@;wjkfi;u izdkj dk “kkSpnku(W.C) yxkuk,izR;sd,0-05,
17-2@17-3,,,,,
17-4,lQsn d,kap phuh feVVh dh ew=nkuh yxkukA,,,
,17-4-1,"5 fyVj dh Lopy cgko Vadh lfgr ,d ew=nkuhA",izR;sd,0-025,
,17-4-2,10 fyVj dh Lopy cgko Vadh lgfr nks ew=nkfu;ksa dh ekyk,izR;sd,0-04,
,17-4-3,10 fyVj dh Lopy cgko Vadh lgfr rhu ew=nkfu;ksa dh ekyk,izR;sd,0-067,
,17-4-4,10 fyVj dh Lopy cgko Vadh lgfr pkj ew=nkfu;ksa dh ekyk,izR;sd,0-095,
17-5,likV i dk v/kZ,hB okyk ;k nhokjkas ds dksus esa yxus okyk dkap phuh feVVh gksBnkj ew=nkuh yxkukA,,,
,17-5-1,ih-oh-lh- dh 5 fyVj dh Lopy cgko Vadh lfgr v/kZ bdgjh ew=nkuh yxkuk,izR;sd,0-051,
,17-5-2,ih-oh-lh- dh 5 fyVj dh Lopy cgko Vadh lfgr v/kZ bdgjh nks ew=nkfu;ksa dh ekyk yxkuk,izR;sd,0-102,
,17-5-3,ih-oh-lh- dh 10 fyVj dh Lopy cgko Vadh lfgr v/kZ bdgjh rhu ew=nkfu;ksa dh ekyk yxkuk,izR;sd,0-153,
,17-5-4,ih-oh-lh- dh 10 fyVj dh Lopy cgko Vadh lfgr v/kZ bdgjh pkj ew=nkfu;ksa dh ekyk yxkuk,izR;sd,0-203,
17-6,",d [kM yxkukA",h cukoV dh lQsn dk¡p phuh feV~Vh dh fcBko ifV~Vdk ew=nkuh,,,
,17-6-1,ih-oh-lh- dh 5 fyVj dh Lopy cgko Vadh lfgr bdgjh fcBko ifVVdkA,izR;sd,0-051,
,17-6-2,ih-oh-lh- dh 5 fyVj dh Lopy cgko Vadh lfgr nks bdgjh fcBko ifVVdkA,izR;sd,0-102,
,17-6-3,ih-oh-lh- dh 5 fyVj dh Lopy cgko Vadh lfgr rhu bdgjh fcBko ifVVdkA,izR;sd,0-153,
,17-6-4,ih-oh-lh- dh 5 fyVj dh Lopy cgko Vadh lfgr pkj bdgjh fcBko ifVVdkA,izR;sd,0-203,
17-7,lh-vkbZ-,¼czsdsVsl½ ds lkFk fpyeph ¼gLr izPNkyunkuh½ yxkuk,izR;sd,0-025,
17-8,¼gLr izP yxkuk,Nkyunkuh½ gsrq dkap phuh feVVh dk iSMLVy ¼ihfBdk ik=½,izR;sd,0-016*,
17-9,lh-vkbZ-,czsdsVl ds lkFk ¼jlksbZ flad½ yxkuk,izR;sd,0-025,
17-10,lh-vkbZ-,czsdsVl ds lkFk ¼jlksbZ flad½ yxkuk,izR;sd,0-025,
17-11,lh-vkbZ-,czsdsVl ds lkFk ¼jlksbZ flad½ yxkuk,izR;sd,0-025,
17-12,lh-vkbZ-,czsdsV ds lfgr tyfudklh ifVVdk ¼cksMZ½ yxkuk,izR;sd,0-014,
la0,,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",
19-19,iwoZ fojfp djuk o,rRCCesugksy ds <+Ddu o Qzse dh LoLFkkus O;oLFkk yxkukA,,,
,19-19-1,",y Mh&25",,,
,,19-19-1-1 600×450mmds vUr% vk;ke ds vk;rkdkj,,,
,,vkdkj,izR;sd,0-128,
,,19-19-1-2 450mmds vUr% vk;ke ds oxkZdkj vkdkj,izR;sd,0-096,
,,19-19-1-3 450mmds vUr% O;kl ehVj dh /kqekonkj vkdkj,izR;sd,0-096,
,19-19-2,",e- Mh&10",,,
